"id","date","mois","puissance_installee_kwp","production_journaliere_kwh","production_cumulee_kwh","heures_equivalentes_h","created_at"
1,"2025-09-01","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
2,"2025-09-02","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
3,"2025-09-03","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
4,"2025-09-04","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
5,"2025-09-05","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
6,"2025-09-06","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
7,"2025-09-07","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
8,"2025-09-08","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
9,"2025-09-09","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
10,"2025-09-10","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
11,"2025-09-11","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
12,"2025-09-12","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
13,"2025-09-13","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
14,"2025-09-14","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
15,"2025-09-15","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
16,"2025-09-16","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
17,"2025-09-17","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
18,"2025-09-18","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
19,"2025-09-19","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
20,"2025-09-20","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
21,"2025-09-21","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
22,"2025-09-22","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
23,"2025-09-23","2025-09","322.00",NULL,NULL,NULL,"2026-04-03 01:51:17.130975"
24,"2025-09-24","2025-09","322.00","582.90","736.30","1.81","2026-04-03 01:51:17.130975"
25,"2025-09-25","2025-09","322.00","934.70","1671.00","2.90","2026-04-03 01:51:17.130975"
26,"2025-09-26","2025-09","322.00","757.80","2428.80","2.35","2026-04-03 01:51:17.130975"
27,"2025-09-27","2025-09","322.00","993.20","3422.00","3.08","2026-04-03 01:51:17.130975"
28,"2025-09-28","2025-09","322.00","1305.00","4727.00","4.05","2026-04-03 01:51:17.130975"
29,"2025-09-29","2025-09","322.00","1260.70","5987.70","3.92","2026-04-03 01:51:17.130975"
30,"2025-09-30","2025-09","322.00","670.10","6657.80","2.08","2026-04-03 01:51:17.130975"
