WMSMVSTD;Mouvements par article;ELEONETECH;16/04/2026;13:40:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;---;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONSSMV1;Mouvements par article;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sélection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FCY;Site;AZB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZFCY; ;ELEONETECH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITMREF;Article;PRC00001041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZITMREF; ;Roue D'appui Gerbeur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTSEL;Lot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTBLK;Lot blanc;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERNUMSTR;Série début;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERNUMEND;Série fin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INQLTI;Durée consultation;470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRTCOD;Ordre de tri;Date imputation (-);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;---;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WMSMVSTD;Mouvements par article;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STOFCY;IPTDAT;LOT;PCU;QTYPCU;STU;QTYSTU;STA;LOC;SLO;SERNUM;BEFSTO;SERFIN;AFTSTO;QLYCTLDEM;TRSTYP;MVTDES;PJT;DLUDAT;NEWLTIDAT;BPRNUM;VCRTYPTXT;VCRNUM;VCRLIN;VCRTYPORIT;VCRNUMORI;VCRLINORI;BPSLOT;SHLDAT;ACTQTY;POT;OWNER;PCUORI;BETCPY;PCUSTUORI;ACCCUR;AMTORD;AMTVAL;VARORD;VARVAL;PRIORD;PRIVAL;PRINAT;AMTDEV;TRSFAM;NUMVCR;GTE;CREUSR;CREDAT;CRETIM;CCE1;PALNUM;CTRNUM
Site;Imputation;Lot;UC;Quantité;US;Quantité US;Statut;Emplacement;S/lot;Série début;Stock avant;Série fin;Stock après;Dem analyse;Type mouvement;Désignation mvt;Affaire;DLU;Recontrôle;Tiers;Type pièce;Pièce;No ligne;Type pièce origine;Pièce origine;No ligne pièce orig;Lot fourn;Péremption;Quantité active;Titre;Propriétaire;UC origine;Inter-sociétés;Coeff. origine;Devise;Montant ordre;Montant mouvement;Variation ordre;Variation mouvement;Prix ordre;Prix valorisé;Nature prix origine;Ecart non absorbé;Famille mouvement stock;Pièce comptable;Type de pièce;Opérateur création;Date création;Heure;Analytique;Identifiant 1;Identifiant 2
AZB;29/10/2025;;UN;-2;UN;-2;A;MMPA01A;;;2;;0;;Sortie diverse;;;31/12/2999;31/12/2999;;Sortie diverse;SOM20254445306;1000;;;0;;31/12/2999;-2;0;AZB;UN;Non;1;TND;-772;-772;-772;-772;386;386;Prix moyen pondéré;0;SDV;;;IBMA;29/10/2025;625;2504;;
AZB;27/10/2025;;UN;1;UN;1;Q;MAG01A;;;1;;2;QUA-AZB251006528;Réception fournisseur;;;31/12/2999;31/12/2999;FL068;Réception;RCT2554129;1000;Commande achat;BC2588260;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;386;386;386;386;386;386;Prix ordre;0;;;;WATO;27/10/2025;1559;;;
AZB;27/10/2025;;UN;1;UN;1;Q;MAG01A;;;0;;1;QUA-AZB251006427;Réception fournisseur;;;31/12/2999;31/12/2999;FL068;Réception;RCT2554110;1000;Commande achat;BC2588260;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;386;386;386;386;386;386;Prix ordre;0;;;;WATO;27/10/2025;939;;;
AZB;04/04/2025;;UN;-1;UN;-1;A;MMPA01A;;;1;;0;;Sortie diverse;56840;;31/12/2999;31/12/2999;;Sortie diverse;SOM20251444908;41000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-367,2;-367,2;-367,2;-367,2;367,2;367,2;Prix moyen pondéré;0;SDV;;;MOAY;04/04/2025;1428;2307;;
