"WMSMVSTD";"Mouvements par article";"ELEONETECH";"16/04/2026";"13:37:25";
"---";"---";"---"
"CONSSMV1";"Mouvements par article";
"";""
"Sélection";
"FCY";"Site";"AZB";
"ZFCY";" ";"ELEONETECH";
"ITMREF";"Article";"PRC00002510";
"ZITMREF";" ";"KIT ENTRETIEN COMPRESSEUR";
"LOTSEL";"Lot";"";
"LOTBLK";"Lot blanc";"Non";
"SERNUMSTR";"Série début";"";
"SERNUMEND";"Série fin";"";
"INQLTI";"Durée consultation";"470";
"SRTCOD";"Ordre de tri";"Date imputation (-)";
"---";"---";"---"
"WMSMVSTD";"Mouvements par article";
"";""
"";
"STOFCY";"IPTDAT";"LOT";"PCU";"QTYPCU";"STU";"QTYSTU";"STA";"LOC";"SLO";"SERNUM";"BEFSTO";"SERFIN";"AFTSTO";"QLYCTLDEM";"TRSTYP";"MVTDES";"PJT";"DLUDAT";"NEWLTIDAT";"BPRNUM";"VCRTYPTXT";"VCRNUM";"VCRLIN";"VCRTYPORIT";"VCRNUMORI";"VCRLINORI";"BPSLOT";"SHLDAT";"ACTQTY";"POT";"OWNER";"PCUORI";"BETCPY";"PCUSTUORI";"ACCCUR";"AMTORD";"AMTVAL";"VARORD";"VARVAL";"PRIORD";"PRIVAL";"PRINAT";"AMTDEV";"TRSFAM";"NUMVCR";"GTE";"CREUSR";"CREDAT";"CRETIM";"CCE1";"PALNUM";"CTRNUM";
"Site";"Imputation";"Lot";"UC";"Quantité";"US";"Quantité US";"Statut";"Emplacement";"S/lot";"Série début";"Stock avant";"Série fin";"Stock après";"Dem analyse";"Type mouvement";"Désignation mvt";"Affaire";"DLU";"Recontrôle";"Tiers";"Type pièce";"Pièce";"No ligne";"Type pièce origine";"Pièce origine";"No ligne pièce orig";"Lot fourn";"Péremption";"Quantité active";"Titre";"Propriétaire";"UC origine";"Inter-sociétés";"Coeff. origine";"Devise";"Montant ordre";"Montant mouvement";"Variation ordre";"Variation mouvement";"Prix ordre";"Prix valorisé";"Nature prix origine";"Ecart non absorbé";"Famille mouvement stock";"Pièce comptable";"Type de pièce";"Opérateur création";"Date création";"Heure";"Analytique";"Identifiant 1";"Identifiant 2";
"AZB";"31/03/2026";"";"UN";"-1";"UN";"-1";"A";"CHR001E02";"";"";"1";"";"0";"";"Sortie diverse";"";"";"31/12/2999";"31/12/2999";"";"Sortie diverse";"SOM20261445672";"2000";"";"";"0";"";"31/12/2999";"-1";"0";"AZB";"UN";"Non";"1";"TND";"-831";"-831";"-831";"-831";"831";"831";"Prix moyen pondéré";"0";"SDV";"";"";"IBMA";"31/03/2026";"1425";"1511";"";"";
"AZB";"26/03/2026";"";"UN";"1";"UN";"1";"Q";"CHR001E02";"";"";"0";"";"1";"QUA-AZB260304646";"Réception fournisseur";"";"";"31/12/2999";"31/12/2999";"FL610";"Réception";"RCT2600439";"2000";"Commande achat";"BC2691821";"2000";"";"31/12/2999";"1";"0";"AZB";"UN";"Non";"1";"TND";"831";"831";"831";"831";"831";"831";"Prix ordre";"0";"";"";"";"WATO";"26/03/2026";"1212";"";"";"";
"AZB";"11/06/2025";"";"UN";"-1";"UN";"-1";"A";"CHR001E01";"";"";"1";"";"0";"";"Sortie diverse";"54026";"";"31/12/2999";"31/12/2999";"";"Sortie diverse";"SOM20252444967";"36000";"";"";"0";"";"31/12/2999";"-1";"0";"AZB";"UN";"Non";"1";"TND";"-787";"-787";"-787";"-787";"787";"787";"Prix moyen pondéré";"0";"SDV";"";"";"MOAY";"11/06/2025";"1005";"2214";"";"";
"AZB";"04/06/2025";"";"UN";"1";"UN";"1";"Q";"CHR001E01";"";"";"0";"";"1";"QUA-AZB250600775";"Réception fournisseur";"";"";"31/12/2999";"31/12/2999";"FL610";"Réception";"RCT2549591";"2000";"Commande achat";"BC2588429";"2000";"";"31/12/2999";"1";"0";"AZB";"UN";"Non";"1";"TND";"787";"787";"0";"0";"787";"787";"Prix ordre";"0,6";"";"";"";"HABAM";"03/07/2025";"0948";"";"";"";
"AZB";"15/04/2025";"";"UN";"-2";"UN";"-2";"A";"CHR001E02";"";"";"2";"";"0";"";"Sortie diverse";"56896";"";"31/12/2999";"31/12/2999";"";"Sortie diverse";"SOM20251644918";"39000";"";"";"0";"";"31/12/2999";"-2";"0";"AZB";"UN";"Non";"1";"TND";"-3339,6";"-3339,6";"-3339,6";"-3339,6";"1669,8";"1669,8";"Prix moyen pondéré";"0";"SDV";"";"";"MOAY";"15/04/2025";"1517";"2209";"";"";
"AZB";"15/04/2025";"";"UN";"1";"UN";"1";"Q";"CHR001E03";"";"";"1";"";"2";"QUA-AZB250403031";"Réception fournisseur";"";"";"31/12/2999";"31/12/2999";"FL610";"Réception";"RCT2547975";"4000";"Commande achat";"BC2587678";"4000";"";"31/12/2999";"1";"0";"AZB";"UN";"Non";"1";"TND";"448,8";"448,8";"448,8";"448,8";"448,8";"448,8";"Prix ordre";"0";"";"";"";"WATO";"15/04/2025";"1457";"";"";"";
"AZB";"15/04/2025";"";"UN";"1";"UN";"1";"Q";"CHR001E02";"";"";"0";"";"1";"QUA-AZB250403031";"Réception fournisseur";"";"";"31/12/2999";"31/12/2999";"FL610";"Réception";"RCT2547975";"3000";"Commande achat";"BC2587678";"3000";"";"31/12/2999";"1";"0";"AZB";"UN";"Non";"1";"TND";"2890,8";"2890,8";"2890,8";"2890,8";"2890,8";"2890,8";"Prix ordre";"0";"";"";"";"WATO";"15/04/2025";"1457";"";"";"";
"AZB";"07/03/2025";"";"UN";"-1";"UN";"-1";"A";"CHR001E01";"";"";"1";"";"0";"";"Sortie diverse";"56377";"";"31/12/2999";"31/12/2999";"";"Sortie diverse";"SOM20251044890";"32000";"";"";"0";"";"31/12/2999";"-1";"0";"AZB";"UN";"Non";"1";"TND";"-2802,8";"-2802,8";"-2802,8";"-2802,8";"2802,8";"2802,8";"Prix moyen pondéré";"0";"SDV";"";"";"MOAY";"07/03/2025";"1352";"1511";"";"";
"AZB";"17/02/2025";"";"UN";"1";"UN";"1";"Q";"CHR001E01";"";"";"0";"";"1";"QUA-AZB250203465";"Réception fournisseur";"";"";"31/12/2999";"31/12/2999";"FL610";"Réception";"RCT2546029";"2000";"Commande achat";"BC2587167";"2000";"";"31/12/2999";"1";"0";"AZB";"UN";"Non";"1";"TND";"2802,8";"2802,8";"2802,8";"2802,8";"2802,8";"2802,8";"Prix ordre";"0";"";"";"";"WATO";"17/02/2025";"1114";"";"";"";
