id,date,mois,puissance_installee_kwp,production_journaliere_kwh,production_cumulee_kwh,heures_equivalentes_h,created_at
1,2025-09-01,2025-09,322.0,,,,2026-05-21 21:37:26
2,2025-09-02,2025-09,322.0,,,,2026-05-21 21:37:26
3,2025-09-03,2025-09,322.0,,,,2026-05-21 21:37:26
4,2025-09-04,2025-09,322.0,,,,2026-05-21 21:37:26
5,2025-09-05,2025-09,322.0,,,,2026-05-21 21:37:26
6,2025-09-06,2025-09,322.0,,,,2026-05-21 21:37:26
7,2025-09-07,2025-09,322.0,,,,2026-05-21 21:37:26
8,2025-09-08,2025-09,322.0,,,,2026-05-21 21:37:26
9,2025-09-09,2025-09,322.0,,,,2026-05-21 21:37:26
10,2025-09-10,2025-09,322.0,,,,2026-05-21 21:37:26
11,2025-09-11,2025-09,322.0,,,,2026-05-21 21:37:26
12,2025-09-12,2025-09,322.0,,,,2026-05-21 21:37:26
13,2025-09-13,2025-09,322.0,,,,2026-05-21 21:37:26
14,2025-09-14,2025-09,322.0,,,,2026-05-21 21:37:26
15,2025-09-15,2025-09,322.0,,,,2026-05-21 21:37:26
16,2025-09-16,2025-09,322.0,,,,2026-05-21 21:37:26
17,2025-09-17,2025-09,322.0,,,,2026-05-21 21:37:26
18,2025-09-18,2025-09,322.0,,,,2026-05-21 21:37:26
19,2025-09-19,2025-09,322.0,,,,2026-05-21 21:37:26
20,2025-09-20,2025-09,322.0,,,,2026-05-21 21:37:26
21,2025-09-21,2025-09,322.0,,,,2026-05-21 21:37:26
22,2025-09-22,2025-09,322.0,,,,2026-05-21 21:37:26
23,2025-09-23,2025-09,322.0,,,,2026-05-21 21:37:26
24,2025-09-24,2025-09,322.0,582.9,736.3,1.81,2026-05-21 21:37:26
25,2025-09-25,2025-09,322.0,934.7,1671.0,2.9,2026-05-21 21:37:26
26,2025-09-26,2025-09,322.0,757.8,2428.8,2.35,2026-05-21 21:37:26
27,2025-09-27,2025-09,322.0,993.2,3422.0,3.08,2026-05-21 21:37:26
28,2025-09-28,2025-09,322.0,1305.0,4727.0,4.05,2026-05-21 21:37:26
29,2025-09-29,2025-09,322.0,1260.7,5987.7,3.92,2026-05-21 21:37:26
30,2025-09-30,2025-09,322.0,670.1,6657.8,2.08,2026-05-21 21:37:26
31,2025-10-01,2025-10,322.0,664.3,7322.1,2.06,2026-05-21 21:37:26
32,2025-10-02,2025-10,322.0,1112.4,8434.5,3.45,2026-05-21 21:37:26
33,2025-10-03,2025-10,322.0,1165.8,9600.3,3.62,2026-05-21 21:37:26
34,2025-10-04,2025-10,322.0,1074.1,10674.4,3.34,2026-05-21 21:37:26
35,2025-10-05,2025-10,322.0,160.9,10835.3,0.5,2026-05-21 21:37:26
36,2025-10-06,2025-10,322.0,583.1,11418.4,1.81,2026-05-21 21:37:26
37,2025-10-07,2025-10,322.0,776.9,12195.3,2.41,2026-05-21 21:37:26
38,2025-10-08,2025-10,322.0,1228.0,13423.3,3.81,2026-05-21 21:37:26
39,2025-10-09,2025-10,322.0,1116.4,14539.7,3.47,2026-05-21 21:37:26
40,2025-10-10,2025-10,322.0,1122.3,15662.0,3.49,2026-05-21 21:37:26
41,2025-10-11,2025-10,322.0,992.8,16654.8,3.08,2026-05-21 21:37:26
42,2025-10-12,2025-10,322.0,424.1,17078.9,1.32,2026-05-21 21:37:26
43,2025-10-13,2025-10,322.0,987.5,18066.4,3.07,2026-05-21 21:37:26
44,2025-10-14,2025-10,322.0,830.2,18896.6,2.58,2026-05-21 21:37:26
45,2025-10-15,2025-10,322.0,824.0,19720.6,2.56,2026-05-21 21:37:26
46,2025-10-16,2025-10,322.0,734.7,20455.3,2.28,2026-05-21 21:37:26
47,2025-10-17,2025-10,322.0,1121.0,21576.3,3.48,2026-05-21 21:37:26
48,2025-10-18,2025-10,322.0,335.8,21912.1,1.04,2026-05-21 21:37:26
49,2025-10-19,2025-10,322.0,389.5,22301.6,1.21,2026-05-21 21:37:26
50,2025-10-20,2025-10,322.0,1078.2,23379.8,3.35,2026-05-21 21:37:26
51,2025-10-21,2025-10,322.0,969.2,24349.0,3.01,2026-05-21 21:37:26
52,2025-10-22,2025-10,322.0,780.9,25129.9,2.43,2026-05-21 21:37:26
53,2025-10-23,2025-10,322.0,1036.6,26166.5,3.22,2026-05-21 21:37:26
54,2025-10-24,2025-10,322.0,1034.1,27200.6,3.21,2026-05-21 21:37:26
55,2025-10-25,2025-10,322.0,1015.2,28215.8,3.15,2026-05-21 21:37:26
56,2025-10-26,2025-10,322.0,937.5,29153.3,2.91,2026-05-21 21:37:26
57,2025-10-27,2025-10,322.0,887.9,30041.2,2.76,2026-05-21 21:37:26
58,2025-10-28,2025-10,322.0,862.7,30903.9,2.68,2026-05-21 21:37:26
59,2025-10-29,2025-10,322.0,1075.0,31978.9,3.34,2026-05-21 21:37:26
60,2025-10-30,2025-10,322.0,651.7,32630.6,2.02,2026-05-21 21:37:26
61,2025-10-31,2025-10,322.0,1038.7,33669.3,3.23,2026-05-21 21:37:26
62,2025-11-01,2025-11,322.0,1075.0,34744.3,3.34,2026-05-21 21:37:26
63,2025-11-02,2025-11,322.0,1060.5,35804.8,3.29,2026-05-21 21:37:26
64,2025-11-03,2025-11,322.0,967.8,36772.6,3.01,2026-05-21 21:37:26
65,2025-11-04,2025-11,322.0,856.2,37628.8,2.66,2026-05-21 21:37:26
66,2025-11-05,2025-11,322.0,1042.5,38671.3,3.24,2026-05-21 21:37:26
67,2025-11-06,2025-11,322.0,962.9,39634.2,2.99,2026-05-21 21:37:26
68,2025-11-07,2025-11,322.0,966.4,40600.6,3.0,2026-05-21 21:37:26
69,2025-11-08,2025-11,322.0,90.8,40691.4,0.28,2026-05-21 21:37:26
70,2025-11-09,2025-11,322.0,657.0,41348.4,2.04,2026-05-21 21:37:26
71,2025-11-10,2025-11,322.0,812.5,42160.9,2.52,2026-05-21 21:37:26
72,2025-11-11,2025-11,322.0,944.0,43104.9,2.93,2026-05-21 21:37:26
73,2025-11-12,2025-11,322.0,986.9,44091.8,3.06,2026-05-21 21:37:26
74,2025-11-13,2025-11,322.0,993.6,45085.4,3.09,2026-05-21 21:37:26
75,2025-11-14,2025-11,322.0,940.9,46026.3,2.92,2026-05-21 21:37:26
76,2025-11-15,2025-11,322.0,598.1,46624.4,1.86,2026-05-21 21:37:26
77,2025-11-16,2025-11,322.0,721.2,47345.6,2.24,2026-05-21 21:37:26
78,2025-11-17,2025-11,322.0,564.0,47909.6,1.75,2026-05-21 21:37:26
79,2025-11-18,2025-11,322.0,568.5,48478.1,1.77,2026-05-21 21:37:26
80,2025-11-19,2025-11,322.0,898.5,49376.6,2.79,2026-05-21 21:37:26
81,2025-11-20,2025-11,322.0,802.1,50178.7,2.49,2026-05-21 21:37:26
82,2025-11-21,2025-11,322.0,501.7,50680.4,1.56,2026-05-21 21:37:26
83,2025-11-22,2025-11,322.0,132.2,50812.6,0.41,2026-05-21 21:37:26
84,2025-11-23,2025-11,322.0,132.3,50944.9,0.41,2026-05-21 21:37:26
85,2025-11-24,2025-11,322.0,583.6,51528.5,1.81,2026-05-21 21:37:26
86,2025-11-25,2025-11,322.0,644.9,52173.4,2.0,2026-05-21 21:37:26
