id,type,date,valeur,created_at
1,EN KW,2025-09-01,6504.0,2026-05-21 21:37:26
2,EN KW,2025-10-01,27011.0,2026-05-21 21:37:26
3,EN KW,2025-11-01,20897.0,2026-05-21 21:37:26
4,EN KW,2025-12-01,16300.0,2026-05-21 21:37:26
5,EN KW,2026-01-01,15.6,2026-05-21 21:37:26
6,EN KW,Somme,70727.6,2026-05-21 21:37:26
7,EN DT,2025-09-01,2042.38,2026-05-21 21:37:26
8,EN DT,2025-10-01,8285.2,2026-05-21 21:37:26
9,EN DT,2025-11-01,6081.09,2026-05-21 21:37:26
10,EN DT,2025-12-01,4733.64,2026-05-21 21:37:26
11,EN DT,2026-01-01,4525.86,2026-05-21 21:37:26
12,EN DT,Somme,25668.170000000002,2026-05-21 21:37:26
