id,annee,mois,mois_num,entite,ot_lance_prev,ot_lance_cura,ot_lance_autre,ot_honore_prev,ot_honore_cura,ot_honore_autre,pct_real_prev,pct_real_cura,pct_real_autre,created_at
1,2025,JANVIER,1,EOT,2.0,1.0,0.0,2.0,1.0,0.0,100%,100%,0%,2026-05-21 21:37:26
2,2025,JANVIER,1,SG,60.0,71.0,0.0,60.0,71.0,0.0,100%,100%,0%,2026-05-21 21:37:26
3,2026,JANVIER,1,EOT,2.0,0.0,0.0,2.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
4,2026,JANVIER,1,SG,83.0,48.0,1.0,83.0,48.0,1.0,100%,100%,100%,2026-05-21 21:37:26
5,2025,FÉVRIER,2,EOT,1.0,0.0,0.0,1.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
6,2025,FÉVRIER,2,SG,35.0,73.0,0.0,35.0,73.0,0.0,100%,100%,0%,2026-05-21 21:37:26
7,2026,FÉVRIER,2,EOT,1.0,0.0,0.0,1.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
8,2026,FÉVRIER,2,SG,35.0,65.0,0.0,35.0,65.0,0.0,100%,100%,0%,2026-05-21 21:37:26
9,2025,MARS,3,EOT,1.0,1.0,0.0,1.0,1.0,0.0,100%,100%,0%,2026-05-21 21:37:26
10,2025,MARS,3,SG,27.0,52.0,0.0,27.0,52.0,0.0,100%,100%,0%,2026-05-21 21:37:26
11,2026,MARS,3,EOT,1.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,2026-05-21 21:37:26
12,2026,MARS,3,SG,67.0,75.0,0.0,67.0,75.0,0.0,100%,100%,0%,2026-05-21 21:37:26
13,2025,AVRIL,4,EOT,3.0,0.0,0.0,3.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
14,2025,AVRIL,4,SG,103.0,69.0,0.0,103.0,69.0,0.0,100%,100%,0%,2026-05-21 21:37:26
15,2025,MAI,5,EOT,2.0,0.0,0.0,2.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
16,2025,MAI,5,SG,44.0,72.0,0.0,44.0,72.0,0.0,100%,100%,0%,2026-05-21 21:37:26
17,2025,JUIN,6,EOT,2.0,0.0,0.0,2.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
18,2025,JUIN,6,SG,78.0,69.0,1.0,78.0,69.0,1.0,100%,100%,100%,2026-05-21 21:37:26
19,2025,JUILLET,7,EOT,2.0,0.0,0.0,2.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
20,2025,JUILLET,7,SG,26.0,72.0,0.0,26.0,72.0,0.0,100%,100%,0%,2026-05-21 21:37:26
21,2025,AOÛT,8,EOT,1.0,0.0,0.0,1.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
22,2025,AOÛT,8,SG,16.0,34.0,0.0,16.0,34.0,0.0,100%,100%,0%,2026-05-21 21:37:26
23,2025,SEPTEMBRE,9,EOT,1.0,0.0,0.0,1.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
24,2025,SEPTEMBRE,9,SG,56.0,53.0,0.0,56.0,53.0,0.0,100%,100%,0%,2026-05-21 21:37:26
25,2025,OCTOBRE,10,EOT,2.0,0.0,0.0,2.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
26,2025,OCTOBRE,10,SG,30.0,63.0,0.0,30.0,63.0,0.0,100%,100%,0%,2026-05-21 21:37:26
27,2025,NOVEMBRE,11,EOT,1.0,0.0,0.0,1.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
28,2025,NOVEMBRE,11,SG,26.0,55.0,0.0,26.0,55.0,0.0,100%,100%,0%,2026-05-21 21:37:26
29,2025,DÉCEMBRE,12,EOT,1.0,0.0,0.0,1.0,0.0,0.0,100%,0%,0%,2026-05-21 21:37:26
30,2025,DÉCEMBRE,12,SG,19.0,62.0,0.0,19.0,62.0,0.0,100%,100%,0%,2026-05-21 21:37:26
